Date,Meal,Food,Quantity,Sugar Intake (g)
2024-06-01,Breakfast,Oatmeal,1 cup,1
2024-06-01,Breakfast,Orange Juice,1 cup,21
2024-06-01,Breakfast,Scrambled Eggs,2,0
2024-06-01,Lunch,Grilled Chicken Salad,1 serving,3
2024-06-01,Dinner,Spaghetti with Marinara Sauce,1 plate,8
2024-06-02,Breakfast,Greek Yogurt,1 cup,7
2024-06-02,Breakfast,Banana,1,14
2024-06-02,Lunch,Tuna Sandwich,1,5
2024-06-02,Dinner,Steak and Vegetables,1 plate,2
2024-06-03,Breakfast,Pancakes with Syrup,2,24
2024-06-03,Breakfast,Apple,1,19
2024-06-03,Lunch,Chicken Wrap,1,3
2024-06-03,Dinner,Beef Stir Fry,1 plate,4

